日期,时段,计划购电量_kWh,充电量_kWh,放电量_kWh,时段初储能_kWh,时段末储能_kWh,真实净负荷_kWh,紧急购电量_kWh,弃电量_kWh,能量平衡残差_kWh
2025-04-11,2:20-2:30,457.388885200209,0.0,0.0,4221.879269787272,4221.879269787272,414.2733333333333,0.0,43.115551866875705,0.0
2025-04-11,2:30-2:40,487.0806689483611,0.0,0.0,4221.879269787272,4221.879269787272,414.54183333333333,0.0,72.53883561502778,0.0
2025-04-11,2:40-2:50,469.1170288126159,0.0,0.0,4221.879269787272,4221.879269787272,410.3030833333333,0.0,58.81394547928261,0.0
2025-04-11,2:50-3:00,429.58959439660566,0.0,0.0,4221.879269787272,4221.879269787272,412.9866666666667,0.0,16.602927729938983,0.0
2025-04-11,3:00-3:10,452.20948442393785,0.0,0.0,4221.879269787272,4221.879269787272,436.03205,0.0,16.177434423937825,0.0
2025-04-11,3:10-3:20,455.0249071436393,0.0,0.0,4221.879269787272,4221.879269787272,460.81198333333333,5.787076189694005,0.0,0.0
2025-04-11,3:20-3:30,458.3451572497711,0.0,0.0,4221.879269787272,4221.879269787272,465.4783333333333,7.133176083562205,0.0,0.0
2025-04-11,3:30-3:40,484.58016555400695,0.0,0.0,4221.879269787272,4221.879269787272,447.84894999999995,0.0,36.73121555400701,0.0
2025-04-11,3:40-3:50,502.88926849245456,0.0,0.0,4221.879269787272,4221.879269787272,461.19065,0.0,41.69861849245456,0.0
2025-04-11,3:50-4:00,519.4575708796585,0.0,0.0,4221.879269787272,4221.879269787272,490.9316666666667,0.0,28.52590421299186,0.0
2025-04-11,4:00-4:10,517.3058334008615,0.0,0.0,4221.879269787272,4221.879269787272,470.64318333333335,0.0,46.66265006752815,0.0
2025-04-11,4:10-4:20,462.1937331074051,0.0,0.0,4221.879269787272,4221.879269787272,450.61793333333327,0.0,11.575799774071811,0.0
2025-04-11,4:20-4:30,511.1922260109197,0.0,0.0,4221.879269787272,4221.879269787272,455.77,0.0,55.4222260109197,0.0
2025-04-11,4:30-4:40,494.8738812764939,0.0,0.0,4221.879269787272,4221.879269787272,460.04596666666663,0.0,34.827914609827246,0.0
2025-04-11,4:40-4:50,521.4417021383017,0.0,0.0,4221.879269787272,4221.879269787272,455.91645,0.0,65.52525213830171,0.0
2025-04-11,4:50-5:00,490.27179888623766,0.0,0.0,4221.879269787272,4221.879269787272,453.7633333333333,0.0,36.50846555290434,0.0
2025-04-11,5:00-5:10,458.3777083592485,0.0,0.0,4221.879269787272,4221.879269787272,466.7720166666666,8.3943083074181,0.0,0.0
2025-04-11,5:10-5:20,493.60841075346326,0.0,0.0,4221.879269787272,4221.879269787272,470.22445,0.0,23.38396075346327,0.0
2025-04-11,5:20-5:30,470.8254586129735,0.0,0.0,4221.879269787272,4221.879269787272,461.76666666666665,0.0,9.058791946306826,0.0
2025-04-11,5:30-5:40,1306.4251207262148,833.3333333333333,0.0,4221.879269787272,4971.879269787272,460.79665,0.0,12.295137392881543,0.0
2025-04-11,5:40-5:50,0.0,0.0,483.17855937452725,4971.879269787272,4435.0142038155755,445.6921,0.0,37.48645937452727,0.0
2025-04-11,5:50-6:00,0.0,0.0,414.7938318434884,4435.0142038155755,3974.132168433922,414.03249999999997,0.0,0.7613318434884491,0.0
2025-04-11,6:00-6:10,0.0,0.0,414.4975760223874,3974.132168433922,3513.579306186825,383.8654833333334,0.0,30.632092689054048,0.0
