日期,模型,计划购电费_元,紧急购电费_元,实际总成本_元,计划购电量_kWh,紧急购电量_kWh,紧急购电次数,弃电量_kWh,期初储能_kWh,期末储能_kWh,CVaR紧急成本_元,净负荷RMSE_kWh,净负荷MAE_kWh,80分位覆盖率,季度
2025-09-23,GBDT分位数主模型,43564.3772717191,13193.869991722735,56758.24726344184,69143.00398368188,2873.2019090775125,52,5780.1970321552035,1200.0,1200.0,5119.168243108281,89.62362098877736,67.40272635379205,0.5138888888888888,Q3
2025-09-24,GBDT分位数主模型,44295.8954483578,8098.905702985758,52394.801151343556,71402.93307743898,2060.3475796362727,43,8163.710270614201,1200.0,1200.0,2491.7062895690738,69.22122637162508,51.11868975569535,0.6597222222222222,Q3
2025-09-25,GBDT分位数主模型,44774.32485276096,8094.239589056608,52868.564441817565,71786.94725982813,2036.900593384628,42,9341.732921460165,1200.0,1200.0,3144.1108653613383,68.88474993518123,55.28975071876519,0.6597222222222222,Q3
2025-09-26,GBDT分位数主模型,22082.5929976268,486.0882601216037,22568.681257748405,38856.48331563804,117.20867646828682,11,18414.974798546253,1200.0,1200.0,1998.183738855982,76.38753918094142,59.779580039043644,0.8819444444444444,Q3
2025-09-27,GBDT分位数主模型,23862.976353667953,1302.7392875309913,25165.715641198945,40918.34834375892,353.3864120339426,14,20562.168095249323,1200.0,1200.0,582.0252826650024,59.55730590740126,44.940576786006396,0.8263888888888888,Q3
2025-09-28,GBDT分位数主模型,47965.845617043466,4393.584903898939,52359.430520942406,75992.41392295616,981.0423763709897,26,9299.03977738214,1200.0,1200.0,1730.8629905325038,70.76266987249566,51.37311116984925,0.625,Q3
2025-09-29,GBDT分位数主模型,45800.37611570278,5056.031498422317,50856.40761412509,72482.64171604827,1315.4448929321272,36,6887.623889573382,1200.0,1200.0,4540.568537416659,62.02680255245999,46.79357006622479,0.6041666666666666,Q3
2025-09-30,GBDT分位数主模型,46592.50009468768,4654.402837003578,51246.902931691264,73944.79308678138,1066.9254094464393,34,5375.407247023402,1200.0,1200.0,3580.1774934542896,71.08442443286732,53.86441591510985,0.5763888888888888,Q3
2025-10-01,GBDT分位数主模型,46108.861782841384,1238.6162495571057,47347.47803239849,73705.56910497916,280.0405533162126,13,20174.073058142396,1200.0,1200.0,4441.817772987556,114.78520574376029,80.48041921042957,0.9513888888888888,Q4
2025-10-02,GBDT分位数主模型,47987.93778010682,1003.5496084672696,48991.48738857409,75835.92263143876,222.321195146773,7,20199.102684442885,1200.0,1200.0,1419.6049932172086,77.98234107304881,59.89349436441148,0.8958333333333334,Q4
2025-10-03,GBDT分位数主模型,23374.167317985582,318.797224875193,23692.964542860776,40437.19322524649,75.83825947887621,2,29736.279267530685,1200.0,1200.0,1767.8769131570682,101.92616108722439,74.84013945583524,0.9861111111111112,Q4
2025-10-04,GBDT分位数主模型,24164.775843147218,261.99531264225624,24426.771155789473,41965.088130595126,57.653120499898705,3,25760.40214827918,1200.0,1200.0,937.7311002418545,61.14987971671486,48.54911157231818,0.9444444444444444,Q4
2025-10-05,GBDT分位数主模型,45777.50062378352,1926.4260430945806,47703.9266668781,73854.2867498593,444.3564583266094,14,15428.387952426858,1200.0,1200.0,3901.4637362857757,75.02584168506132,54.03093920058514,0.9166666666666666,Q4
2025-10-06,GBDT分位数主模型,47113.46857650032,2210.418931800279,49323.8875083006,75550.84272127131,464.06264953663594,10,14015.351390266755,1200.0,1200.0,5210.889350854316,45.144118160811,34.789228470762744,0.9305555555555556,Q4
2025-10-07,GBDT分位数主模型,48101.894233592015,1542.2482499000039,49644.14248349202,76600.48642773929,335.714710816113,11,14818.145855304912,1200.0,1200.0,2802.7755474992678,53.209413315752606,41.62038580867451,0.9166666666666666,Q4
2025-10-08,GBDT分位数主模型,42737.57837238695,3035.633546396668,45773.21191878362,70149.33902885791,684.90297114017,18,10200.509025835061,1200.0,1200.0,2561.7563757336675,52.362337624985365,37.75633785447838,0.8402777777777778,Q4
2025-10-09,GBDT分位数主模型,42606.463272341134,3132.9568501490357,45739.42012249017,69247.38968638022,715.8416032867623,19,10117.662225679367,1200.0,1200.0,2328.866505103031,44.802139362739744,33.4590014420501,0.8194444444444444,Q4
2025-10-10,GBDT分位数主模型,21394.28145398628,562.618330302217,21956.899784288496,38813.05381946611,137.2219373826095,4,26395.504176551938,1200.0,1200.0,1919.548963718784,82.73112550605799,52.93433244768236,0.9375,Q4
2025-10-11,GBDT分位数主模型,21038.93227144554,208.53374391932795,21247.46601536487,38113.85847403483,51.589356388668364,4,20832.757054445705,1200.0,1200.0,2531.86091943009,53.41045321122908,40.56821942053151,0.8402777777777778,Q4
