date,uniform56,half_life7,half_life14,half_life28,uniform28,uniform42
2025-08-31,1442.9013088405572,1565.32817737734,1548.5666259148593,1491.3657157465168,1576.020048890669,1480.440728595915
2025-09-01,3491.5819502588847,3637.9199254726755,3608.827452763271,3563.2609451516814,3657.959047522901,3548.8394859819446
2025-09-02,2628.586872276562,2714.6704082519977,2716.5633775447977,2694.9017461127523,2792.6609239692793,2660.8060474601284
2025-09-03,2166.842100841729,2137.2836346866625,2202.486943836935,2202.680347214714,2312.7799109632806,2178.012480498131
2025-09-04,2097.7767670686335,2018.1085154016878,2076.364051067364,2102.5633217886016,2202.875634660272,2103.73353551142
2025-09-05,1976.5550306362586,1850.8627591670875,1941.3472939708258,1968.8489745792594,2075.2745960737866,1971.2484240185963
2025-09-06,2229.1569398346783,2363.1454112853635,2313.4054899843254,2269.3052862975896,2276.0006885285266,2203.6748164181736
2025-09-07,1621.6249611708167,1703.7981521089096,1689.190630788413,1664.9333435407143,1807.7152978371832,1701.5571798832682
2025-09-08,3160.036067465312,3741.4135502432346,3293.0836794501147,3175.2771434588667,3032.3011511652003,3158.987284956266
2025-09-09,2198.424471747397,2191.2194657772498,2131.8854342919044,2139.5898276115504,2078.690831550981,2104.826178440183
2025-09-10,2844.5737393610734,2884.7236596591792,2850.1024275413774,2862.0312864021953,2745.507749383237,2937.6905366631195
2025-09-11,1728.1024299012154,2013.5616024036508,1835.2670796265102,1771.3256734305614,1811.7797229935268,1723.749370489911
2025-09-12,1246.7570241615576,1422.9987213747515,1318.3733195510279,1286.309467031561,1339.04825324239,1234.3911994601958
2025-09-13,1812.3561671456973,1961.0431275103326,1864.8913596455284,1857.7875820184468,1896.2114106976906,1825.6265263898529
2025-09-14,1503.3732043982855,1605.384815045863,1534.7541979088287,1531.4578138522045,1507.4084858275673,1556.5088915985775
2025-09-15,1960.7499324205537,1963.092891461527,1992.0212238165427,1975.384603755984,2083.902312713418,1984.6223072987411
2025-09-16,1848.92738071919,1831.5389984338542,1850.9825587224286,1827.281779760562,1821.8673388810648,1790.1294415973864
2025-09-17,1393.0861597715163,1446.003506708375,1402.6258577049396,1389.2584904548612,1356.3366566591776,1425.983380938345
2025-09-18,1287.09158912459,1155.6402773580407,1145.6353578606645,1207.6495315105158,1194.7395345993973,1256.507089924723
2025-09-19,1175.3217674826205,1237.4783184341563,1201.5206365050258,1203.0220098720065,1163.8462248898932,1200.7594170069956
2025-09-20,1442.2156822344268,1650.9395847688452,1527.127086686465,1475.493596006712,1559.4900890412282,1478.245841396183
2025-09-21,1715.8701134094683,1778.5404714113965,1761.1406772812172,1748.9550964084456,1762.8832024102767,1803.1790415603118
2025-09-22,1740.7749560751777,1724.6493592171678,1711.563856623515,1718.2054788455564,1740.4491881406848,1771.79718560331
2025-09-23,1603.6554790784528,1555.0179252480073,1523.8352683233552,1545.8056715931618,1642.1034458205486,1484.903641168146
2025-09-24,1286.4925706195131,1320.1180527642132,1303.7861452497593,1301.372081498883,1276.7087290578834,1330.5014365164643
2025-09-25,1690.0135362754468,1646.3687632164788,1671.7451734039719,1692.2616815447682,1677.44801649422,1744.5170235892251
2025-09-26,1550.82201755517,1650.5340619224974,1580.3056311520504,1561.1315338111444,1651.6988261340193,1551.418325094699
2025-09-27,1536.299094984092,1850.4775804092867,1746.4306570811818,1631.181189279747,1816.3953143119934,1572.810995981858
